file_date,Country_Region,continent_name,total_deaths,population,kpi_deaths_100000,kpi_deaths_100
2021-02-05T00:00:00+01:00@Europe/Zurich,Burma,Asia,3168,54409794,5.822481151095701,0.005822481151095701
2021-02-05T00:00:00+01:00@Europe/Zurich,Gambia,Africa,132,2416664,5.4620749926344745,0.0054620749926344745
2021-02-05T00:00:00+01:00@Europe/Zurich,Pakistan,Asia,11914,220892331,5.393577923717053,0.005393577923717053
2021-02-05T00:00:00+01:00@Europe/Zurich,Syria,Asia,943,17500657,5.388369133798806,0.005388369133798806
2021-02-05T00:00:00+01:00@Europe/Zurich,Seychelles,Africa,5,98340,5.084401057555421,0.00508440105755542
2021-02-05T00:00:00+01:00@Europe/Zurich,Bangladesh,Asia,8182,164689383,4.968140538847,0.004968140538847
2021-02-05T00:00:00+01:00@Europe/Zurich,Japan,Asia,6278,126476458,4.9637696210626014,0.004963769621062601
2021-02-05T00:00:00+01:00@Europe/Zurich,Zambia,Africa,828,18383956,4.503927228720522,0.004503927228720521
2021-02-05T00:00:00+01:00@Europe/Zurich,Venezuela,South America,1223,28435943,4.300894821740218,0.004300894821740218
2021-02-05T00:00:00+01:00@Europe/Zurich,Sudan,Africa,1831,43849269,4.175668242040706,0.004175668242040706
2021-02-05T00:00:00+01:00@Europe/Zurich,Malawi,Africa,779,19129955,4.072147582155839,0.004072147582155839
2021-02-05T00:00:00+01:00@Europe/Zurich,Senegal,Africa,666,16743930,3.9775608235342594,0.00397756082353426
2021-02-05T00:00:00+01:00@Europe/Zurich,Australia,Oceania,909,25459700,3.570348433013743,0.003570348433013743
2021-02-05T00:00:00+01:00@Europe/Zurich,Kenya,Africa,1776,53771300,3.3028771854130365,0.0033028771854130366
2021-02-05T00:00:00+01:00@Europe/Zurich,Gabon,Africa,71,2225728,3.189967507260546,0.0031899675072605453
2021-02-05T00:00:00+01:00@Europe/Zurich,"Korea, South",Asia,1464,51269183,2.855516539048418,0.002855516539048418
2021-02-05T00:00:00+01:00@Europe/Zurich,Saint Vincent and the Grenadines,North America,3,110947,2.7039937988408878,0.002703993798840888
2021-02-05T00:00:00+01:00@Europe/Zurich,Malaysia,Asia,845,32365998,2.6107645437041676,0.0026107645437041674
2021-02-05T00:00:00+01:00@Europe/Zurich,Nicaragua,North America,170,6624554,2.566210495076348,0.0025662104950763477
2021-02-05T00:00:00+01:00@Europe/Zurich,Guinea-Bissau,Africa,46,1967998,2.3374007493910054,0.0023374007493910053
2021-02-05T00:00:00+01:00@Europe/Zurich,Congo (Brazzaville),Africa,122,5518092,2.2109091330844066,0.002210909133084407
2021-02-05T00:00:00+01:00@Europe/Zurich,Haiti,North America,245,11402533,2.1486453930894127,0.002148645393089413
2021-02-05T00:00:00+01:00@Europe/Zurich,Yemen,Asia,615,29825968,2.0619615765697863,0.0020619615765697864
2021-02-05T00:00:00+01:00@Europe/Zurich,Cuba,North America,229,11326616,2.0217865600811398,0.0020217865600811397
2021-02-05T00:00:00+01:00@Europe/Zurich,Ethiopia,Africa,2136,114963583,1.8579796699620958,0.0018579796699620958
2021-02-05T00:00:00+01:00@Europe/Zurich,Uzbekistan,Asia,621,33469199,1.855437293255808,0.001855437293255808
2021-02-05T00:00:00+01:00@Europe/Zurich,Cameroon,Africa,474,26545864,1.7855888962589428,0.0017855888962589428
2021-02-05T00:00:00+01:00@Europe/Zurich,Liberia,Africa,84,5057677,1.6608415286306342,0.0016608415286306342
2021-02-05T00:00:00+01:00@Europe/Zurich,Mali,Africa,336,20250834,1.6591909251737484,0.0016591909251737484
2021-02-05T00:00:00+01:00@Europe/Zurich,Rwanda,Africa,213,12952209,1.6445071261589432,0.0016445071261589432
2021-02-05T00:00:00+01:00@Europe/Zurich,Sri Lanka,Asia,343,21413250,1.6018119622196536,0.0016018119622196536
2021-02-05T00:00:00+01:00@Europe/Zurich,Ghana,Africa,449,31072945,1.444986949257626,0.001444986949257626
2021-02-05T00:00:00+01:00@Europe/Zurich,Angola,Africa,474,32866268,1.4422081630929315,0.0014422081630929317
2021-02-05T00:00:00+01:00@Europe/Zurich,Mozambique,Africa,436,31255435,1.3949573890109033,0.0013949573890109032
2021-02-05T00:00:00+01:00@Europe/Zurich,Central African Republic,Africa,63,4829764,1.304411561310242,0.001304411561310242
2021-02-05T00:00:00+01:00@Europe/Zurich,Madagascar,Africa,281,27691019,1.014769445645897,0.0010147694456458971
2021-02-05T00:00:00+01:00@Europe/Zurich,Sierra Leone,Africa,79,7976985,0.9903491105975504,9.903491105975504E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Togo,Africa,79,8278737,0.9542518381729,9.542518381729E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Tajikistan,Asia,90,9537642,0.9436294631314533,9.436294631314533E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Grenada,North America,1,112519,0.8887387907820012,8.887387907820013E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Somalia,Africa,132,15893219,0.8305428875044131,8.30542887504413E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Nigeria,Africa,1641,206139587,0.7960625243709254,7.960625243709254E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Mauritius,Africa,10,1271767,0.7863075547643554,7.863075547643554E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Congo (Kinshasa),Africa,678,89561404,0.7570225227822467,7.570225227822466E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Chad,Africa,124,16425859,0.7549072471643644,7.549072471643645E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Uganda,Africa,327,45741000,0.7148947333901752,7.148947333901751E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Brunei,Asia,3,437483,0.6857409316476297,6.857409316476298E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Niger,Africa,165,24206636,0.6816312683844216,6.816312683844216E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Guinea,Africa,84,13132792,0.639620272673168,6.39620272673168E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Burkina Faso,Africa,132,20903278,0.6314799047307317,6.314799047307316E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Cote d'Ivoire,Africa,160,26378275,0.6065597541916595,6.065597541916595E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,South Sudan,Africa,66,11193729,0.5896158465154909,5.89615846515491E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,New Zealand,Oceania,25,4822233,0.5184320210159898,5.184320210159898E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Singapore,Asia,29,5850343,0.49569743175742004,4.9569743175742E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Benin,Africa,55,12123198,0.4536756720462703,4.5367567204627026E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,China,Asia,4822,1404676330,0.343281928869692,3.43281928869692E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Fiji,Oceania,2,896444,0.2231037298481556,2.231037298481556E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Eritrea,Africa,7,3546427,0.1973817591621088,1.9738175916210877E-4
2021-02-05T00:00:00+01:00@Europe/Zurich,Bhutan,Asia,1,771612,0.12959881391165506,1.2959881391165506E-4
