file_date,Country_Region,continent_name,total_confirmed,population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-02-05T00:00:00+01:00@Europe/Zurich,Mauritius,Africa,584,1271767,45.92036119823835,0.045920361198238356
2021-02-05T00:00:00+01:00@Europe/Zurich,Brunei,Asia,180,437483,41.144455898857785,0.04114445589885778
2021-02-05T00:00:00+01:00@Europe/Zurich,Mali,Africa,8145,20250834,40.22056573077435,0.04022056573077435
2021-02-05T00:00:00+01:00@Europe/Zurich,South Sudan,Africa,4355,11193729,38.90571229659035,0.03890571229659035
2021-02-05T00:00:00+01:00@Europe/Zurich,Liberia,Africa,1956,5057677,38.67388130954191,0.038673881309541906
2021-02-05T00:00:00+01:00@Europe/Zurich,Benin,Africa,4193,12123198,34.58658350709112,0.034586583507091116
2021-02-05T00:00:00+01:00@Europe/Zurich,Thailand,Asia,23134,69799978,33.14327692194974,0.033143276921949745
2021-02-05T00:00:00+01:00@Europe/Zurich,Somalia,Africa,4814,15893219,30.289647427623063,0.03028964742762306
2021-02-05T00:00:00+01:00@Europe/Zurich,Congo (Kinshasa),Africa,23371,89561404,26.09494598811783,0.02609494598811783
2021-02-05T00:00:00+01:00@Europe/Zurich,Chad,Africa,3450,16425859,21.003467763847237,0.021003467763847237
2021-02-05T00:00:00+01:00@Europe/Zurich,Niger,Africa,4589,24206636,18.957611458279455,0.018957611458279455
2021-02-05T00:00:00+01:00@Europe/Zurich,Burundi,Africa,1698,11890781,14.27997034004747,0.01427997034004747
2021-02-05T00:00:00+01:00@Europe/Zurich,Papua New Guinea,Oceania,891,8947027,9.958615303161597,0.009958615303161597
2021-02-05T00:00:00+01:00@Europe/Zurich,China,Asia,100318,1404676330,7.141716412349598,0.007141716412349597
2021-02-05T00:00:00+01:00@Europe/Zurich,Yemen,Asia,2124,29825968,7.121311201031263,0.007121311201031263
2021-02-05T00:00:00+01:00@Europe/Zurich,Marshall Islands,Oceania,4,58413,6.8477907315152455,0.006847790731515245
2021-02-05T00:00:00+01:00@Europe/Zurich,Fiji,Oceania,56,896444,6.246904435748356,0.006246904435748356
2021-02-05T00:00:00+01:00@Europe/Zurich,Timor-Leste,Oceania,80,1318442,6.0677678654047735,0.006067767865404774
2021-02-05T00:00:00+01:00@Europe/Zurich,Taiwan*,Asia,923,23816775,3.8754197409179034,0.003875419740917903
2021-02-05T00:00:00+01:00@Europe/Zurich,Cambodia,Asia,472,16718971,2.8231402518731565,0.0028231402518731565
